[2026-05-14 22:00:00.319] [37016433] [INFO] [L3701643351T20260514220000319R57140] [数据交互|发送名单服务数据] |查询全网车道-收费站信息 请求：{"filename":"BASIC_LANE_STATION_LIST_REQ_3701643351_20260514220000319.json","sign":"NONE","bizContent":{"msgId":"37016433512026051422139722","hex":"3701643351","type":2},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T22:00:00"}
[2026-05-14 22:28:00.231] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/370164335F/Push/TransShare】,QOS 【0】, 内容:{"axleInfo":"","axleType":null,"cardBalance":null,"cardId":"2204232353467262","cardNetId":"3701","cardType":"23","desc":"","deviceType":3,"enTime":"2026-05-14T19:42:44","enTollStationHex":"37015411","enTollStationId":"S0017370010010","enTollStationName":"山东蓬莱站","enWeight":0,"exWeight":null,"exitFeeType":1,"fee":8794,"feeAxleCount":2,"feeVehicleId":"鲁BA53985_4","feeVehicleType":1,"identifyAxleCount":0,"identifyVehicleId":"null_null","identifyVehicleType":0,"isAllowPass":null,"laneHid":95,"laneType":6,"limitWeight":null,"mediaType":null,"msgId":"370164335F2026051422140134","obuEF01Axle":null,"obuEf04":"AA290037015411516A05B53401033C72096A05D9B3C2B3424135333938350000000400000000FFC9BDB6AB3701000117403701220423235346726200010020F7001F520012030CF1000000000020F712001F52934817058E6A8C7C","obuId":"3701014231150162","obuMac":"6C7DBC86","obuVehicleType":1,"option":0,"overRate":null,"overWeight":null,"passId":"013701220423235346726220260514194244","payFee":9257,"permittedWeight":0,"provinceCount":1,"redisKey":"WASTE_ETC_EXWASTE_SUCCESS_G00153700500302020950_20260514222800_鲁BA53985_4","remoteCheck":0,"rsuId":null,"sendTime":"2026-05-14T22:28:00","shiftStartTime":1778752846000,"spare1":"1","spare2":"0","spare3":"","spare4":null,"specialType":"|18","tollLaneHex":"370164335F","tollLaneId":"G00153700500302020950","tradeId":"G001537005003020209502026051422275972","transStatus":0,"transTime":"2026-05-14T22:27:59","transType":0,"vId":"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","vehTypeDataAxle":null,"vehicleSign":"0xff","vehicleUserType":0,"wasteNum":"72","weightAxleCount":null,"weightTime":null,"weightVehicleType":null}
[2026-05-14 22:28:00.232] [37016433] [INFO] [L370164335FT20260514222800231R64421] [ ] [处理流程|车辆交易数据处理] |370164335F车道保存匝道鲁BA53985_4ETC交易结果共享数据成功!
[2026-05-14 22:28:10.341] [37016433] [INFO] [系统信息|服务信息] |服务正常:18.1.1.1
[2026-05-14 22:28:10.358] [37016433] [INFO] [L3701643300T20260514222810358R64464] [定时任务] |清理过期的匝道交易共享数据：370164335B_鲁U57L07_0
[2026-05-14 22:28:20.591] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643318/Push/DevInfo/Axle】,QOS 【0】, 内容:{"axleFlag":1,"axleNum":"20260514210011","axleTime":"2026-05-14T21:51:40","dangerousGoods":0,"faceFeatureCode":"0000","identifyType":"1","msgId":"37016433182026051422383679","picId":null,"plateColor":4,"plateNum":"鲁BA53985","pushTime":"2026-05-14T22:28:20","reliability":100,"vehFeatureCode":"0000","vehicleAxleCount":2,"vehicleAxleInfo":"000011","vehicleColor":0,"vehicleHeigth":1770,"vehicleLength":5175,"vehicleModel":"0000","vehicleSpecial":0,"vehicleSpeed":28,"vehicleWheelBase":"3377","vehicleWidth":1750}
[2026-05-14 22:28:24.342] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643318/Push/DevInfo/Vlpr】,QOS 【0】, 内容:{"faceFeatureCode":"0000","msgId":"37016433182026051422383681","picFlag":1,"picId":"G0015370050030202003020260514225003","picTime":"2026-05-14T22:28:23","plateColor":4,"plateNum":"鲁BA53985","pushTime":"2026-05-14T22:28:24","reliability":96,"vehFeatureCode":"0000","vehicleColor":0,"vehicleModel":"0000","vehicleSpeed":0,"vprNo":null}
[2026-05-14 22:29:03.121] [37016433] [INFO] [L3701643318T20260514222903121R64692] [数据交互|收到设备控制服务数据] |24车道--外设控制服务输入信息(ETC交易受理E1)为FFFF001000000196E100370164331800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006C7DBC863701014231150162C9BDB6AB370100011640202303222033032210200100000000000000000000C2B342413533393835000000000401000045181604020000000005000000000000000000AECC57D0750A66000000000000000000A20027A2624BAAFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF000000000000000000000000000000000000FFB528B2C9BDB6AB370100011740370122042323534672622023032220330322C2B342413533393835000000000401AA2900370164335F6A05DBEF01043D730B6A05DBEFC2B3424135333938350000000402FFFFFFFF0000225A0000000037015411516A05B53401033C72096A05D9B3C2B3424135333938350000000400000000FFC9BDB6AB3701000117403701220423235346726200010020F7001F520012030CF1000000000020F712001F52934817058E6A8C7C00000027000000270001778768943016010100000000000000000092C5
[2026-05-14 22:29:03.121] [37016433] [INFO] [L3701643318T20260514222903121R64693] [6C7DBC86] [处理流程|车辆交易数据处理] |24车道交易受理--解析交易受理请求成功，开始处理
[2026-05-14 22:29:03.124] [37016433] [INFO] [L3701643318T20260514222903121R64693] [6C7DBC86] [OBU信息|系统信息] |收到OBU信息，标签号：6C7DBC86；OBU序列号：3701014231150162；启用时间：20230322；到期时间：20330322；发行方：山东37010001；OBU状态：00100000
[2026-05-14 22:29:03.124] [37016433] [INFO] [L3701643318T20260514222903121R64693] [6C7DBC86] [OBU信息|车辆信息] |收到OBU车辆信息，车牌号：鲁BA53985；车牌颜色：4；车型：1；车辆用户类型：0；车辆轴数：2；车辆座位数：5
[2026-05-14 22:29:03.124] [37016433] [INFO] [L3701643318T20260514222903121R64693] [6C7DBC86] [OBU信息|EF04信息] |EF04中0019：00000037015411516A05B53401033C72096A05D9B3C2B3424135333938350000000400000000FF  交易标识：000000；通行路网号：3701；通行收费站：5411；通行车道：51；通行时间：2026-05-14 19:42:44；通行车型：1；通行状态：03；通行门架编号：3C7209；通行门架时间：2026-05-14 22:18:27；车牌号：鲁BA53985；车牌颜色：4；车辆状态标识：FF 
[2026-05-14 22:29:03.124] [37016433] [INFO] [L3701643318T20260514222903121R64693] [6C7DBC86] [OBU信息|EF04信息] |EF04中0015：C9BDB6AB37010001174037012204232353467262  发行方：山东37010001；卡片类型：23；卡片版本：40；卡片网络号：3701；卡号：2204232353467262；车辆用户类型：0；通行省份个数：1；累计应收金额：8439；累计实收金额：8018；累计交易成功次数：18；累计里程：199921；无卡次数：0；本省应收金额：8439；本省实收金额：8018；本省交易成功次数：18；
[2026-05-14 22:29:03.124] [37016433] [INFO] [L3701643318T20260514222903121R64693] [6C7DBC86] [ETC卡信息|0002] |卡内余额：4290062514
[2026-05-14 22:29:03.124] [37016433] [INFO] [L3701643318T20260514222903121R64693] [6C7DBC86] [ETC卡信息|0015] |发行方：山东37010001；卡片类型：23；卡片版本：40；卡片网络号：3701；卡号：2204232353467262；启用时间：20230322；到期时间：20330322；用户类型：0；车牌号：鲁BA53985；车牌颜色：4；车型：1
[2026-05-14 22:29:03.124] [37016433] [INFO] [L3701643318T20260514222903121R64693] [6C7DBC86] [ETC卡信息|0019] |通行路网号：3701；通行收费站：6433；通行车道：5F；通行时间：2026-05-14 22:27:59；通行车型：1；通行状态：04；通行门架编号：3D730B；通行门架时间：2026-05-14 22:27:59；车牌号：鲁BA53985；车牌颜色：4；车辆状态标识：FF 
[2026-05-14 22:29:03.124] [37016433] [INFO] [L3701643318T20260514222903121R64693] [6C7DBC86] [处理流程|车辆交易数据处理] |24车道MTC出口交易受理--车辆鲁BA53985开始进行校验
[2026-05-14 22:29:03.124] [37016433] [INFO] [L3701643318T20260514222903121R64693] [6C7DBC86] [处理流程|有效性判断] |查询标签是否拆卸 OBU拆卸状态位：0；未拆卸
[2026-05-14 22:29:03.124] [37016433] [INFO] [L3701643318T20260514222903121R64693] [6C7DBC86] [处理流程|有效性判断] |查询车辆是否重复交易 该车辆已在匝道成功交易，交易时间：2026-05-14 22:27:59；距离本次交易时间2026-05-14 22:29:03小于10分钟，匝道交易成功，直接放行
[2026-05-14 22:29:03.124] [37016433] [INFO] [L3701643318T20260514222903121R64693] [6C7DBC86] [处理流程|有效性判断] |鲁BA53985_4校验结束---
[2026-05-14 22:29:03.124] [37016433] [INFO] [L3701643318T20260514222903121R64693] [6C7DBC86] [处理流程|车辆交易数据处理] |24车道MTC出口交易受理--车辆鲁BA53985已在匝道交易成功，抬杆放行
[2026-05-14 22:29:03.125] [37016433] [INFO] [L0000000000T20260423155201467R00016] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643318/Push/TransShare】：{"axleInfo":"","axleType":null,"cardBalance":null,"cardId":"2204232353467262","cardNetId":"3701","cardType":"23","desc":"匝道预交易成功车辆，直接放行","deviceType":1,"enTime":"2026-05-14T19:42:44","enTollStationHex":"37015411","enTollStationId":"S0017370010010","enTollStationName":"山东蓬莱站","enWeight":0,"exWeight":null,"exitFeeType":1,"fee":8794,"feeAxleCount":2,"feeVehicleId":"鲁BA53985_4","feeVehicleType":1,"identifyAxleCount":0,"identifyVehicleId":"null_null","identifyVehicleType":0,"isAllowPass":null,"laneHid":95,"laneType":6,"limitWeight":null,"mediaType":null,"msgId":"370164335F2026051422140134","obuEF01Axle":null,"obuEf04":"AA290037015411516A05B53401033C72096A05D9B3C2B3424135333938350000000400000000FFC9BDB6AB3701000117403701220423235346726200010020F7001F520012030CF1000000000020F712001F52934817058E6A8C7C","obuId":"3701014231150162","obuMac":"6C7DBC86","obuVehicleType":1,"option":0,"overRate":null,"overWeight":null,"passId":"013701220423235346726220260514194244","payFee":9257,"permittedWeight":0,"provinceCount":1,"redisKey":"WASTE_ETC_EXWASTE_SUCCESS_G00153700500302020950_20260514222800_鲁BA53985_4","remoteCheck":0,"rsuId":null,"sendTime":"2026-05-14T22:28:00","shiftStartTime":1778752846000,"spare1":"5","spare2":"0","spare3":"","spare4":null,"specialType":"|18","tollLaneHex":"370164335F","tollLaneId":"G00153700500302020950","tradeId":"G001537005003020209502026051422275972","transStatus":0,"transTime":"2026-05-14T22:27:59","transType":0,"vId":"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","vehTypeDataAxle":null,"vehicleSign":"0xff","vehicleUserType":0,"wasteNum":"72","weightAxleCount":null,"weightTime":null,"weightVehicleType":null}
[2026-05-14 22:29:03.126] [37016433] [INFO] [L3701643318T20260514222903121R64693] [数据交互|发送设备控制服务数据] |24车道发送指令到外设控制服务:FFFF000100000137E1020002370164331800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006C7DBC86370101423115016200000000C2B3424135333938350000000401000000000500000002170000225A000000000000225A20260514222759000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000AA290037015411516A05B53401033C72096A05D9B3C2B3424135333938350000000400000000FFC9BDB6AB3701000117403701220423235346726200010020F7001F520012030CF1000000000020F712001F52934817058E6A8C7C0000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000200004271
[2026-05-14 22:29:03.126] [37016433] [INFO] [L3701643300T20260514222903126R64694] [ ] [处理流程|流水生成] |redis入库成功--key：MTCWASTE_WORKSUM3701643318,value：{"alipayCardFee":0,"alipayFee":0,"autoSwitchDate":1778796000000,"bL_Center":"50","bL_SubCenter":"5003","badInvNum":0,"batchNum":"G0015370050030202003020260514173647500501031","blRoad":"23","cPCCnt":34,"cashCardFee":0,"cashFee":0,"cashFreeMoney":0,"cashRebateMoney":0,"cashRecordCnt":0,"chargeMode":1,"checkFlag":0,"checkTime":1778751407568,"curHolidayMotorCadeVCnt":0,"curMotorCadeVCnt":0,"damCardCnt":0,"endTime":"2026-05-15T06:00:00","etcCardCnt":30,"etcCardFee":0,"etcFee":270360,"exTollLaneHex":"3701643318","exTollStationHex":"37016433","finishFlag":false,"fworkDate":null,"gantrySerialNum":1528,"inductCnt":64,"invEndNo":"0","invNum":0,"invStartNo":"1","lane":"24","laneId":"G00153700500302020030","laneType":3,"laneTypeIdentification":8,"modifyFlag":null,"motorcadeFlag":false,"papCnt":0,"posFreeMoney":44810,"posRebateMoney":0,"serialNum":91,"shift":"06","shiftName":"第三班","shiftTransCount":0,"shiftTransFeeSum":0,"spare1":null,"spare2":null,"startTime":"2026-05-14T17:36:47","station":"500303","stationId":"G0015370050030","stationName":"山东王台站","statusFlag":"1","thirdCardFee":0,"thirdPayFee":190714,"ticketFee":0,"tollCollectorId":"500501031","tollCollectorName":"李霞","totalHolidayMotorCadeVCnt":0,"totalMotorCadeVCnt":0,"transCnt":0,"transFeeSum":0,"underGantryHex":"3D730B","underGantryId":"G001537005000920010","unifiedFee":0,"unipayCardFee":0,"unipayFee":0,"unpayCardCost":0,"vCnt":64,"weChatCardFee":0,"weChatFee":0,"workDate":"2026-05-14 00:00:00"}
[2026-05-14 22:29:03.126] [37016433] [INFO] [L3701643300T20260514222903126R64695] [ ] [处理流程|流水生成] |redis入库成功--key：WASTE_ETC_EXRELEASEWASTE_G00153700500302020030_20260514222903_鲁BA53985_4,value：{"cardVehiclePlate":"鲁BA53985","chargeMode":2,"discountFee":"463","enStationHex":"37015411","enTime":"2026-05-14T19:42:44","etcCardId":"2204232353467262","fee":"8794","id":"G001537005003020200302026051422290390","idenVehiclePlate":"","issuerNet":"3701","laneId":"95","mediaNo":"37012204232353467262","mediaType":"1","passId":"013701220423235346726220260514194244","payType":"4","releaseLaneId":"24","releaseLaneType":"3","releaseModeType":"0","releaseOpCode":"500501031","releaseShiftCode":"06","releaseShiftDate":"20260514","releaseShiftSerialNo":"90","releaseTime":"2026-05-14T22:29:03","releaseTollLaneHex":"3701643318","releaseTollLaneId":"G00153700500302020030","releaseTradeMode":"2","shiftDate":"2026-05-14T18:00:46","shiftSerialNo":"72","time":"2026-05-14T22:27:59","tollLaneHex":"370164335F","tollLaneId":"G00153700500302020950","tradeId":"G001537005003020209502026051422275972","transCode":"1002","vehicleSign":"0xff","vehicleSignId":"","vehicleType":"1","vehicleUserType":"0"}
[2026-05-14 22:29:03.127] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643318/Push/TransShare】,QOS 【0】, 内容:{"axleInfo":"","axleType":null,"cardBalance":null,"cardId":"2204232353467262","cardNetId":"3701","cardType":"23","desc":"匝道预交易成功车辆，直接放行","deviceType":1,"enTime":"2026-05-14T19:42:44","enTollStationHex":"37015411","enTollStationId":"S0017370010010","enTollStationName":"山东蓬莱站","enWeight":0,"exWeight":null,"exitFeeType":1,"fee":8794,"feeAxleCount":2,"feeVehicleId":"鲁BA53985_4","feeVehicleType":1,"identifyAxleCount":0,"identifyVehicleId":"null_null","identifyVehicleType":0,"isAllowPass":null,"laneHid":95,"laneType":6,"limitWeight":null,"mediaType":null,"msgId":"370164335F2026051422140134","obuEF01Axle":null,"obuEf04":"AA290037015411516A05B53401033C72096A05D9B3C2B3424135333938350000000400000000FFC9BDB6AB3701000117403701220423235346726200010020F7001F520012030CF1000000000020F712001F52934817058E6A8C7C","obuId":"3701014231150162","obuMac":"6C7DBC86","obuVehicleType":1,"option":0,"overRate":null,"overWeight":null,"passId":"013701220423235346726220260514194244","payFee":9257,"permittedWeight":0,"provinceCount":1,"redisKey":"WASTE_ETC_EXWASTE_SUCCESS_G00153700500302020950_20260514222800_鲁BA53985_4","remoteCheck":0,"rsuId":null,"sendTime":"2026-05-14T22:28:00","shiftStartTime":1778752846000,"spare1":"5","spare2":"0","spare3":"","spare4":null,"specialType":"|18","tollLaneHex":"370164335F","tollLaneId":"G00153700500302020950","tradeId":"G001537005003020209502026051422275972","transStatus":0,"transTime":"2026-05-14T22:27:59","transType":0,"vId":"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","vehTypeDataAxle":null,"vehicleSign":"0xff","vehicleUserType":0,"wasteNum":"72","weightAxleCount":null,"weightTime":null,"weightVehicleType":null}
[2026-05-14 22:30:10.341] [37016433] [INFO] [系统信息|服务信息] |服务正常:18.1.1.1
[2026-05-14 22:30:10.358] [37016433] [INFO] [L3701643300T20260514223010358R64966] [定时任务] |清理过期的匝道交易共享数据：3701643318_鲁BA53985_4
[2026-05-14 22:30:11.381] [37016433] [INFO] [L3701643300T20260514223011381R64980] [定时任务] |清理过期的ETC交易共享数据：3701643319_鲁UX9677_1_
[2026-05-14 22:30:11.381] [37016433] [INFO] [L3701643300T20260514223011381R64980] [定时任务] |清理过期的ETC交易共享数据：370164335B_鲁LF193N_0_
[2026-05-14 22:30:37.205] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643318/Push/DevInfo/Axle】,QOS 【0】, 内容:{"axleFlag":1,"axleNum":"20260514210012","axleTime":"2026-05-14T21:53:56","dangerousGoods":0,"faceFeatureCode":"0000","identifyType":"1","msgId":"37016433182026051422383706","picId":null,"plateColor":0,"plateNum":"鲁L5T544","pushTime":"2026-05-14T22:30:37","reliability":100,"vehFeatureCode":"0000","vehicleAxleCount":2,"vehicleAxleInfo":"000011","vehicleColor":0,"vehicleHeigth":1714,"vehicleLength":4768,"vehicleModel":"0000","vehicleSpecial":0,"vehicleSpeed":23,"vehicleWheelBase":"2628","vehicleWidth":1850}
[2026-05-14 22:30:40.547] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643318/Push/DevInfo/Vlpr】,QOS 【0】, 内容:{"faceFeatureCode":"0000","msgId":"37016433182026051422383708","picFlag":1,"picId":"G0015370050030202003020260514225004","picTime":"2026-05-14T22:30:40","plateColor":0,"plateNum":"鲁L5T544","pushTime":"2026-05-14T22:30:40","reliability":96,"vehFeatureCode":"0000","vehicleColor":0,"vehicleModel":"0000","vehicleSpeed":0,"vprNo":null}
[2026-05-14 22:31:07.334] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/370164335F/Push/DevInfo/Vlpr】,QOS 【0】, 内容:{"faceFeatureCode":"0000","msgId":"370164335F2026051422083461","picFlag":2,"picId":"G0015370050030202095020260514221322","picTime":"2026-05-14T22:26:07","plateColor":9,"plateNum":"","pushTime":"2026-05-14T22:31:07","reliability":0,"vehFeatureCode":"0000","vehicleColor":1,"vehicleModel":"0000","vehicleSpeed":0,"vprNo":null}
[2026-05-14 22:31:25.116] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Push/DevInfo/Axle】,QOS 【0】, 内容:{"axleFlag":1,"axleNum":"20260514210005","axleTime":"2026-05-14T21:52:44","dangerousGoods":0,"faceFeatureCode":"0000","identifyType":"1","msgId":"37016433192026051422299499","picId":null,"plateColor":4,"plateNum":"鲁BDG3127","pushTime":"2026-05-14T22:31:25","reliability":100,"vehFeatureCode":"0000","vehicleAxleCount":2,"vehicleAxleInfo":"000011","vehicleColor":0,"vehicleHeigth":1946,"vehicleLength":4660,"vehicleModel":"0000","vehicleSpecial":0,"vehicleSpeed":28,"vehicleWheelBase":"2915","vehicleWidth":1800}
[2026-05-14 22:31:32.241] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Push/DevInfo/Vlpr】,QOS 【0】, 内容:{"faceFeatureCode":"0000","msgId":"37016433192026051422299501","picFlag":1,"picId":"G0015370050030202004020260514220003","picTime":"2026-05-14T22:31:31","plateColor":4,"plateNum":"鲁BDG3127","pushTime":"2026-05-14T22:31:32","reliability":96,"vehFeatureCode":"0000","vehicleColor":0,"vehicleModel":"0000","vehicleSpeed":0,"vprNo":null}
[2026-05-14 22:31:54.871] [37016433] [INFO] [L370164335FT20260514223154871R65405] [数据交互|收到设备控制服务数据] |95车道--外设控制服务输入信息(ETC交易受理E1)为FFFF004000000196E100370164335F00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006CAA6ACA3701014321679458C9BDB6AB370100011640202307242033072410200100000000000000000000C2B347305A53313200000000000001000053192204020000000009000000000000000000B0485D4075C36500000000000000000000000089636596FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF000000000000000000000000000000000000FFF971DDC9BDB6AB370100011740370122042323538935582023072420330724C2B347305A53313200000000000001AA290037019064036A05D59601013C9F216A05D9F3C2B347305A5331320000000000FFFFFFFFFF000004CC00AA290037019064036A05D59601013C9F216A05D9F3C2B347305A5331320000000000FFFFFFFFFFC9BDB6AB37010001174037012204232353893558000100050D0004CC00050064F40000000000050D050004CCEB10009F813E57720000001500000015000177876911478203010000000000000000003A80
[2026-05-14 22:31:54.872] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [处理流程|车辆交易数据处理] |95车道交易受理--解析交易受理请求成功，开始处理
[2026-05-14 22:31:54.872] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [OBU信息|系统信息] |收到OBU信息，标签号：6CAA6ACA；OBU序列号：3701014321679458；启用时间：20230724；到期时间：20330724；发行方：山东37010001；OBU状态：00100000
[2026-05-14 22:31:54.872] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [OBU信息|车辆信息] |收到OBU车辆信息，车牌号：鲁G0ZS12；车牌颜色：0；车型：1；车辆用户类型：0；车辆轴数：2；车辆座位数：9
[2026-05-14 22:31:54.872] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [OBU信息|EF04信息] |EF04中0019：AA290037019064036A05D59601013C9F216A05D9F3C2B347305A5331320000000000FFFFFFFFFF  交易标识：AA2900；通行路网号：3701；通行收费站：9064；通行车道：03；通行时间：2026-05-14 22:00:54；通行车型：1；通行状态：01；通行门架编号：3C9F21；通行门架时间：2026-05-14 22:19:31；车牌号：鲁G0ZS12；车牌颜色：0；车辆状态标识：FF 
[2026-05-14 22:31:54.872] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [OBU信息|EF04信息] |EF04中0015：C9BDB6AB37010001174037012204232353893558  发行方：山东37010001；卡片类型：23；卡片版本：40；卡片网络号：3701；卡号：2204232353893558；车辆用户类型：0；通行省份个数：1；累计应收金额：1293；累计实收金额：1228；累计交易成功次数：5；累计里程：25844；无卡次数：0；本省应收金额：1293；本省实收金额：1228；本省交易成功次数：5；
[2026-05-14 22:31:54.872] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [ETC卡信息|0002] |卡内余额：4294537693
[2026-05-14 22:31:54.872] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [ETC卡信息|0015] |发行方：山东37010001；卡片类型：23；卡片版本：40；卡片网络号：3701；卡号：2204232353893558；启用时间：20230724；到期时间：20330724；用户类型：0；车牌号：鲁G0ZS12；车牌颜色：0；车型：1
[2026-05-14 22:31:54.872] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [ETC卡信息|0019] |通行路网号：3701；通行收费站：9064；通行车道：03；通行时间：2026-05-14 22:00:54；通行车型：1；通行状态：01；通行门架编号：3C9F21；通行门架时间：2026-05-14 22:19:31；车牌号：鲁G0ZS12；车牌颜色：0；车辆状态标识：FF 
[2026-05-14 22:31:54.872] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [处理流程|车辆交易数据处理] |95车道匝道出口交易受理--车辆鲁G0ZS12开始进行校验
[2026-05-14 22:31:54.872] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [处理流程|有效性判断] |查询标签是否拆卸 OBU拆卸状态位：0；未拆卸
[2026-05-14 22:31:54.873] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [处理流程|有效性判断] |查询车辆是否重复交易 本车道类型：6；本站HEX：37016433；上次通行状态：01；上次通行站HEX：37019064； 非重复交易
[2026-05-14 22:31:54.873] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [处理流程|有效性判断] |查询标签是否插卡 OBU卡存在状态位：0；卡存在
[2026-05-14 22:31:54.873] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [处理流程|有效性判断] |查询标签是否低电量 OBU电池状态位位：0；电池正常
[2026-05-14 22:31:54.873] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [处理流程|有效性判断] |查询标签是否锁定 OBU锁定状态位：0；未锁定
[2026-05-14 22:31:54.873] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [处理流程|有效性判断] |查询OBU发行期是否过期 启用日期：2023-07-24 00:00:00；结束日期：2033-07-24 00:00:00；在有效期内
[2026-05-14 22:31:54.873] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [处理流程|有效性判断] |查询车型是否合规 车型：1；合规
[2026-05-14 22:31:54.873] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [处理流程|有效性判断] |查询OBU发行方是否有效 发行方省份：山东；发行方有效
[2026-05-14 22:31:54.873] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [处理流程|有效性判断] |查询车辆状态名单 网络编号:3701；标签号：3701014321679458；卡号：2204232353893558；车牌号：鲁G0ZS12；车牌颜色：0
[2026-05-14 22:31:54.873] [37016433] [INFO] [L370164335FT20260514223154871R65406] [数据交互|发送名单服务数据] |查询全国名单服务信息 请求：{"filename":"BASIC_LIST_QUERY_REQ_370164335F_20260514223154873.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051422140139","info":[{"cardId":"37012204232353893558","obuId":"3701014321679458","queryType":1},{"vehicleId":"鲁G0ZS12_0","queryType":2},{"cardId":"37012204232353893558","vehicleId":"鲁G0ZS12_0","queryType":3},{"vehicleId":"鲁G0ZS12_0","queryType":4},{"vehicleId":"鲁G0ZS12_0","queryType":5},{"vehicleId":"鲁G0ZS12_0","queryType":6},{"laneType":6,"vehicleId":"鲁G0ZS12_0","queryType":7}]},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T22:31:54"}
[2026-05-14 22:31:54.882] [37016433] [INFO] [L370164335FT20260514223154871R65406] [数据交互|收到名单服务数据] |查询全国名单服务信息 响应：{"filename":"BASIC_LIST_QUERY_RES_370164335F_20260514223154876.json","bizContent":"{\"receiveTime\":\"2026-05-14T22:31:54.876\",\"code\":\"1\",\"codeInfo\":\"无记录\",\"msgId\":\"370164335F2026051422140139\",\"info\":[{\"queryType\":1,\"status\":0},{\"queryType\":2,\"status\":0},{\"queryType\":3,\"status\":0},{\"queryType\":4,\"status\":0},{\"queryType\":5,\"status\":0},{\"queryType\":6,\"status\":0},{\"queryType\":7,\"status\":0}]}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 22:31:54.883] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [处理流程|有效性判断] |查询ETC卡发行期是否过期 启用日期：2023-07-24 00:00:00；结束日期：2033-07-24 00:00:00；在有效期内
[2026-05-14 22:31:54.883] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [处理流程|有效性判断] |查询ETC卡是否锁定 0019锁定标志：00；未锁定
[2026-05-14 22:31:54.883] [37016433] [INFO] [L370164335FT20260514223154871R65406] [6CAA6ACA] [处理流程|有效性判断] |查询ETC卡类型是否合法 卡类型：23；合法
[2026-05-14 22:31:54.883] [37016433] [INFO] [L370164335FT20260514223154871R65406] [数据交互|发送名单服务数据] |查询区域编码信息 请求：{"filename":"ISSUER_LIST_REQ_370164335F_20260514223154883.json","sign":"NONE","bizContent":{"issuerNet":"3701","msgId":"370164335F2026051422140140"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T22:31:54"}
